node4
[M::mp_idx_restore@2.003*0.73] loaded the index
[M::mp_mapopt_set_max_intron] set max intron size to 107183
[M::mp_idx_print_stat] 2384762 distinct k-mers; mean occ of infrequent k-mers: 156.41; 114 frequent k-mers accounting for 3956601 occurrences
[M::worker_pipeline::703.412*39.02] mapped 3571 sequences
[M::worker_pipeline::710.502*39.13] mapped 3426 sequences
[M::worker_pipeline::717.829*39.28] mapped 4113 sequences
[M::worker_pipeline::724.962*39.35] mapped 4183 sequences
[M::worker_pipeline::730.256*39.40] mapped 3457 sequences
[M::worker_pipeline::739.516*39.16] mapped 2595 sequences
[M::worker_pipeline::744.402*39.11] mapped 2733 sequences
[M::worker_pipeline::749.121*39.15] mapped 3204 sequences
[M::worker_pipeline::754.172*39.15] mapped 2792 sequences
[M::worker_pipeline::763.205*38.89] mapped 2667 sequences
[M::worker_pipeline::767.057*38.91] mapped 2789 sequences
[M::worker_pipeline::771.779*38.94] mapped 2943 sequences
[M::worker_pipeline::775.098*38.99] mapped 2968 sequences
[M::worker_pipeline::781.740*39.01] mapped 3150 sequences
[M::worker_pipeline::785.608*39.03] mapped 2753 sequences
[M::worker_pipeline::803.253*38.65] mapped 2543 sequences
[M::worker_pipeline::807.780*38.64] mapped 2743 sequences
[M::worker_pipeline::815.653*38.60] mapped 3091 sequences
[M::worker_pipeline::822.575*38.52] mapped 2698 sequences
[M::worker_pipeline::825.788*38.54] mapped 3565 sequences
[M::worker_pipeline::827.879*38.57] mapped 4120 sequences
[M::worker_pipeline::830.309*38.58] mapped 4107 sequences
[M::worker_pipeline::833.081*38.59] mapped 3965 sequences
[M::worker_pipeline::836.695*38.59] mapped 2682 sequences
[M::worker_pipeline::840.644*38.63] mapped 2823 sequences
[M::worker_pipeline::843.939*38.64] mapped 2580 sequences
[M::worker_pipeline::848.121*38.66] mapped 3044 sequences
[M::worker_pipeline::856.561*38.54] mapped 3013 sequences
[M::worker_pipeline::863.061*38.44] mapped 2781 sequences
[M::worker_pipeline::866.811*38.44] mapped 2988 sequences
[M::worker_pipeline::874.139*38.23] mapped 3425 sequences
[M::worker_pipeline::878.782*38.16] mapped 3661 sequences
[M::worker_pipeline::881.097*38.19] mapped 3380 sequences
[M::worker_pipeline::883.559*38.21] mapped 3452 sequences
[M::worker_pipeline::886.019*38.21] mapped 3287 sequences
[M::worker_pipeline::890.206*38.15] mapped 3067 sequences
[M::worker_pipeline::895.969*38.08] mapped 2536 sequences
[M::worker_pipeline::899.948*38.08] mapped 2343 sequences
[M::worker_pipeline::903.482*38.10] mapped 2276 sequences
[M::worker_pipeline::918.789*37.65] mapped 2139 sequences
[M::worker_pipeline::920.511*37.65] mapped 1648 sequences
[M::main] Version: 0.12-r237
[M::main] CMD: miniprot -I -t 64 --gff ref.mpi /fast3/group_crf/home/cuirf/goby_flye/Oxyeleotris_marmorata/annotation/prot_evidences/all.prot.fa
[M::main] Real time: 920.958 sec; CPU: 34654.535 sec; Peak RSS: 20.027 GB
